@ NAME             %06s "SURVEY"
@ TYPE             %06s "SURVEY"
@ TITLE            %11s "Ring ThomX "
@ ORIGIN           %16s "5.02.02 Linux 64"
@ DATE             %08s "22/09/15"
@ TIME             %08s "18.13.26"
* NAME                                S                  X                  Z              THETA 
$ %s                                %le                %le                %le                %le 
 "RING$START"                         0                  0                  0       -1.570796327
 "SD5"                              0.8               -0.8   -1.640827428e-10       -1.570796327
 "QP1"                       0.95000001        -0.95000001   -1.948482591e-10       -1.570796327
 "SD2"                       1.16000001        -1.16000001   -2.379199791e-10       -1.570796327
 "QP2"                       1.31000002        -1.31000002   -2.686854955e-10       -1.570796327
 "SD31"                      2.06375002        -2.06375002   -4.232822047e-10       -1.570796327
 "COE"                       2.06375002        -2.06375002   -4.232822047e-10       -1.570796327
 "DIP"                       2.34021002        -2.31265148       -0.103098337       -2.356194327
 "COS"                       2.34021002        -2.31265148       -0.103098337       -2.356194327
 "SD3S2"                     2.46521002       -2.401039842      -0.1914866703       -2.356194327
 "SX1"                       2.46521102       -2.401040549      -0.1914873774       -2.356194327
 "SD3S"                      2.54021102       -2.454073566      -0.2445203773       -2.356194327
 "QP31"                      2.69021103       -2.560139608      -0.3505863842       -2.356194327
 "SD3S"                      2.76521103       -2.613172625      -0.4036193842       -2.356194327
 "SX3"                       2.76521203       -2.613173332      -0.4036200913       -2.356194327
 "SD3S1"                     2.90521203       -2.712168298      -0.5026150245       -2.356194327
 "QP41"                      3.05521204       -2.818234339      -0.6086810314       -2.356194327
 "SD1S1"                     3.30021204       -2.991475529      -0.7819221645       -2.356194327
 "SX2"                       3.30021304       -2.991476236      -0.7819228716       -2.356194327
 "SD1S"                      3.37521304       -3.044509253      -0.8349558716       -2.356194327
 "QP4"                       3.52521305       -3.150575295      -0.9410218785       -2.356194327
 "SD2"                       3.73521305       -3.299067743       -1.089514278       -2.356194327
 "QP3"                       3.88521306       -3.405133785       -1.195580285       -2.356194327
 "SD3"                       4.12021306       -3.571303905       -1.361750352       -2.356194327
 "COE"                       4.12021306       -3.571303905       -1.361750352       -2.356194327
 "DIP"                       4.39667306       -3.674402323       -1.610651778       -3.141592327
