@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %04s "RING"
@ PARTICLE         %08s "ELECTRON"
@ MASS             %le      0.000510998928
@ CHARGE           %le                  -1
@ ENERGY           %le         0.050510999
@ PC               %le       0.05050841415
@ GAMMA            %le         98.84756353
@ KBUNCH           %le                   1
@ BCURRENT         %le                   0
@ SIGE             %le                   0
@ SIGT             %le                   0
@ NPART            %le                   0
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le                   1
@ LENGTH           %le         17.98669224
@ ALFA             %le       0.01237158129
@ ORBIT5           %le                  -0
@ GAMMATR          %le         8.990573451
@ Q1               %le         3.169924559
@ Q2               %le         1.639867572
@ DQ1              %le    -4.587991066e-07
@ DQ2              %le    -0.0003414292291
@ DXMAX            %le        0.8779488017
@ DYMAX            %le                   0
@ XCOMAX           %le     2.814074604e-08
@ YCOMAX           %le                   0
@ BETXMAX          %le         10.69826929
@ BETYMAX          %le         10.51826779
@ XCORMS           %le     8.015080893e-09
@ YCORMS           %le                   0
@ DXRMS            %le        0.4072537423
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %11s "Ring ThomX "
@ ORIGIN           %16s "5.02.02 Linux 64"
@ DATE             %08s "22/09/15"
@ TIME             %08s "18.13.26"
* NAME                                S               BETX               BETY               ALFX               ALFY                 DX                DPX 
$ %s                                %le                %le                %le                %le                %le                %le                %le 
 "RING$START"                         0        4.636280156        2.449101975   -3.904082455e-08    6.092224005e-09     0.002321614831    1.734651511e-08
 "SD5"                              0.8         4.77432192         2.71042224      -0.1725521655      -0.3266503368     0.002321629504    1.734651511e-08
 "QP1"                       0.95000001         5.33196518        2.546860049       -3.669071276        1.380202057     0.002439552697     0.001585466062
 "SD2"                       1.16000001        6.992589158        2.017475804       -4.238661951        1.140675303     0.002772500909     0.001585466062
 "QP2"                       1.31000002        6.797796055        2.102184043        5.446114126       -1.743959635     0.002719227687    -0.002283441113
 "SD31"                      2.06375002        1.150261599         5.82343605        2.046468901       -3.193024786    0.0009980836641    -0.002283441113
 "COE"                       2.06375002        1.150261599         5.82343605        2.046468901       -3.193024786    0.0009980836641    -0.002283441113
 "DIP"                       2.34021002       0.1341965478         8.15827261       0.8400814914       -5.514896528       0.1032410125       0.7035232391
 "COS"                       2.34021002       0.1341965478         8.15827261       0.8400814914       -5.514896528       0.1032410125       0.7035232391
 "SD3S2"                     2.46521002       0.1227814282        9.597162065      -0.7487605347       -5.996219066       0.1911814176       0.7035232391
 "SX1"                       2.46521102       0.1227829257        9.597174057      -0.7487732443       -5.996223011       0.1911821211       0.7035232372
 "SD3S"                      2.54021102       0.3065968042        10.51826703       -1.702078459       -6.285016543        0.243946364       0.7035232372
 "QP31"                      2.69021103        1.318225803        9.558426217       -5.640542696        12.09526551       0.3881097261        1.261864265
 "SD3S"                      2.76521103        2.304335145        7.830817692       -7.507581823        10.93951472       0.4827495464        1.261864265
 "SX3"                       2.76521203        2.304350161        7.830795813       -7.507606708        10.93949928       0.4827508083        1.261864263
 "SD3S1"                     2.90521203        4.894399607        5.069772207       -10.99274641        8.782097824       0.6594118058        1.261864263
 "QP41"                      3.05521204        7.407207296           3.505526       -4.653003815        2.317166679       0.7791621944       0.3087069274
 "SD1S1"                     3.30021204         9.87072918        2.479174966       -5.402187509        1.872021199       0.8547953917       0.3087069274
 "SX2"                       3.30021304        9.870739984        2.479171222       -5.402190584        1.872019386       0.8547957005       0.3087069288
 "SD1S"                      3.37521304        10.69826922         2.20858849       -5.631532532        1.735750361       0.8779487201       0.3087069288
 "QP4"                       3.52521305        8.858973102         2.44448593         16.4762675       -3.482133387       0.7770984328       -1.615193231
 "SD2"                       3.73521305        3.295284386        4.143769437        10.01748818       -4.609692802       0.4379078528       -1.615193231
 "QP3"                       3.88521306        1.710444297        3.851989559        1.913792231         6.28974934       0.2692966781      -0.7070189435
 "SD3"                       4.12021306       0.9615030211        1.477319396        1.273191907        3.815230035       0.1031472252      -0.7070189435
 "COE"                       4.12021306       0.9615030211        1.477319396        1.273191907        3.815230035       0.1031472252      -0.7070189435
 "DIP"                       4.39667306       0.2014666966       0.2002905649        0.886003626       0.9475300727    6.167956852e-05    8.330990342e-09
 "COS"                       4.39667306       0.2014666966       0.2002905649        0.886003626       0.9475300727    6.167956852e-05    8.330990342e-09
 "SD0"                       4.49667306       0.1128663434       0.1055375528   -1.004077937e-07    4.031403425e-08    6.168086034e-05    8.330990342e-09
 "SD0"                       4.59667306       0.2014667368       0.2002905487      -0.8860038269      -0.9475299921    6.168215216e-05    8.330990342e-09
 "COE"                       4.59667306       0.2014667368       0.2002905487      -0.8860038269      -0.9475299921    6.168215216e-05    8.330990342e-09
 "DIP"                       4.87313306       0.9615031057        1.477319336       -1.273191866       -3.815229922       0.1031472331       0.7070189501
 "COS"                       4.87313306       0.9615031057        1.477319336       -1.273191866       -3.815229922       0.1031472331       0.7070189501
 "SD3"                       5.10813306         1.71044435        3.851989461       -1.913792112       -6.289749212       0.2692966906       0.7070189501
 "QP3"                       5.25813307        3.295284424        4.143769343        -10.0174881        4.609692667       0.4379078727        1.615193278
 "SD2"                       5.46813307        8.858973124        2.444485873        -16.4762673         3.48213328       0.7770984704        1.615193278
 "QP4"                       5.61813308        10.69826919        2.208588445        5.631532771       -1.735750354       0.8779487602      -0.3087069729
 "SD1S"                      5.69313308        9.870739907        2.479171179        5.402190801       -1.872019382       0.8547957365      -0.3087069729
 "SX2"                       5.69313408        9.870729103        2.479174923         5.40218711        -1.87202104       0.8547954278      -0.3087069181
 "SD1S1"                     5.93813408        7.407207371        3.505525876        4.653003511       -2.317166472       0.7791622305      -0.3087069181
 "QP41"                      6.08813409        4.894399722        5.069771995        10.99274633       -8.782097327       0.6594118368       -1.261864299
 "SD3S1"                     6.22813409        2.304350262        7.830795466        7.507606733       -10.93949865         0.48275083       -1.261864299
 "SX3"                       6.22813509        2.304335247        7.830817345        7.507581942       -10.93951441       0.4827495682        -1.26186432
 "SD3S"                      6.30313509        1.318225877        9.558425837        5.640542824        -12.0952652       0.3881097415        -1.26186432
 "QP31"                       6.4531351       0.3065968424        10.51826667        1.702078542        6.285016164       0.2439463689      -0.7035232749
 "SD3S"                       6.5281351       0.1227829468        9.597173744       0.7487733694        5.996222654       0.1911821217      -0.7035232749
 "SX1"                        6.5281361       0.1227814493        9.597161752       0.7487606622        5.996218531       0.1911814182      -0.7035232803
 "SD3S2"                      6.6531361       0.1341965289        8.158272411      -0.8400812976        5.514896057       0.1032410055      -0.7035232803
